,msg_id,user_name,user_order,season,episode_number,episode_title,quote_order,quote
0,0,Monica,0,1,1,Monica Gets A Roommate,0,There's nothing to tell! He's just some guy I work with!
1,1,Joey,0,1,1,Monica Gets A Roommate,1,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
2,2,Chandler,0,1,1,Monica Gets A Roommate,2,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?"
3,3,Phoebe,0,1,1,Monica Gets A Roommate,3,"Wait, does he eat chalk?"
4,4,Phoebe,1,1,1,Monica Gets A Roommate,4,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
5,5,Monica,1,1,1,Monica Gets A Roommate,5,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
6,6,Chandler,1,1,1,Monica Gets A Roommate,6,Sounds like a date to me.
7,7,Chandler,2,1,1,Monica Gets A Roommate,7,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
9,9,Chandler,3,1,1,Monica Gets A Roommate,9,"Then I look down, and I realize there's a phone... there."
10,10,Joey,1,1,1,Monica Gets A Roommate,10,Instead of...?
11,11,Chandler,4,1,1,Monica Gets A Roommate,11,That's right.
12,12,Joey,2,1,1,Monica Gets A Roommate,12,Never had that dream.
13,13,Phoebe,2,1,1,Monica Gets A Roommate,13,No.
14,14,Chandler,5,1,1,Monica Gets A Roommate,14,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
15,15,Monica,2,1,1,Monica Gets A Roommate,15,And they weren't looking at you before?!
16,16,Chandler,6,1,1,Monica Gets A Roommate,16,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
17,17,Ross,0,1,1,Monica Gets A Roommate,17,(mortified) Hi.
18,18,Joey,3,1,1,Monica Gets A Roommate,18,"This guy says hello, I wanna kill myself."
19,19,Monica,3,1,1,Monica Gets A Roommate,19,"Are you okay, sweetie?"
20,20,Ross,1,1,1,Monica Gets A Roommate,20,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
